id,firstname,lastname,fatherwords,motherwords,lwords,gendre
1362145075,Gabrielle,Bluestone,0.0,0.0,0.0,0.99
542756846,Neetzan,Zimmerman,0.0,0.0,0.0,-0.13
453490908,Max,RN,0.0,0.0,0.0,-1.0
452462612,J.K.,Trotter,0.0,0.0,0.0,0.0
191332968,Caity,Weaver,0.0,0.0,0.0,1.0
145625854,Cord,Jefferson,0.0,0.0,0.0,-1.0
123545062,Hamilton,Nolan,0.0,0.0,0.0,-0.71
116961893,Camille,Dodero,0.0,0.0,0.0,0.48
50885824,Kiese,0,0.0,0.0,0.0,-0.5
50058630,Tom,Scocca,0.0,0.0,0.0,-0.99
47406782,Jim,Cooke,0.0,0.0,0.0,-0.99
44123487,Sam,Biddle,0.0,0.0,0.0,-0.98
36282042,Rich,Juzwiak,0.0,0.0,0.0,-1.0
35294738,John,Cook,0.0,0.0,0.0,-1.0
27786406,Taylor,Berman,0.0,0.0,0.0,0.55
24421464,Nitasha,Tiku,0.0,0.0,0.0,1.0
20605481,Adrian,Chen,0.0,0.0,0.0,-0.93
18922477,Beejoli,Shah,0.0,0.0,0.0,0.5
17681505,max,read,0.0,0.0,0.0,-0.99
16932127,Lacey,Donohue,0.0,0.0,0.0,0.99
14951700,Ken,Layne,0.0,0.0,0.0,-1.0
13029,Nick,Denton,0.0,0.0,0.0,-0.53
