id,firstname,lastname,fatherwords,motherwords,lwords,gendre
2602156056,Jinae,West,0,0,0,0.13
2330721445,Bob,Mondello,0,0,0,-1
2326297722,Carol,Ritchie,0,0,0,1
1548898596,Eric,Westervelt,0,0,0,-1
1533992912,Cory,Turner,0,0,0,-0.95
1431157350,Today,1963,0,0,0,0.5
1416823478,Patrick,Murray,0,0,0,-1
1365147818,Nathan,Rott,0,0,0,-1
1139722248,Chinita,Anderson,0,0,0,1
1123007678,Ashley,Messenger,0,0,0,-0.65
1117803602,David,Sweeney,0,0,0,-1
1064192366,Jasmine,Garsd,0,0,0,0.99
1006788936,Phil,Harrell,0,0,0,-1
939949219,Tania,Lombrozo,0,0,0,1
875591820,Kee,Malesky,0,0,0,-0.49
860595301,Maggie,Penman,0,0,0,1
836922157,John,Stempin,0,0,0,-1
829640946,Chris,Hopkins,0,0,0,-0.97
813303104,Evie,Stone,0,0,0,1
807975026,S.V.,Dáte,0,0,0,0
757264490,Stu,Seidel,0,0,0,-1
718475688,Ken,Barcus,0,0,0,-1
718431380,Jeffrey,Katz,0,0,0,-1
707512656,NPR,Health,0,0,0,-0.13
634635574,kainazamaria,None,0,0,0,0.39
631532178,Michaeleen,Doucleff,0,0,0,0.5
625600899,Scott,Neuman,0,0,0,-0.99
619159265,Jennifer,Ludden,0,0,0,0.99
609705444,Jennifer,Wright,0,0,0,1
587735448,Jenna,Dooley,0,0,0,1
563942253,melissa,gray,0,0,0,0.99
552336380,Jacob,Ganz,0,0,0,-1
545361165,Corey,Flintoff,0,0,0,-0.96
542989688,Alan,Greenblatt,0,0,0,-1
502009244,Carol,Klinger,0,0,0,1
485083111,scott,horsley,0,0,0,-1
455241705,Heidi,Saman,0,0,0,1
431640134,Quil,Lawrence,0,0,0,-0.77
427059614,Dan,Charles,0,0,0,-0.99
425628535,Cheryl,Corley,0,0,0,1
411405379,Sylvia,Poggioli,0,0,0,0.71
401721372,LA,Johnson,0,0,0,0.35
390840265,Justine,Kenin,0,0,0,0.93
390170244,Caitlin,Dickerson,0,0,0,1
380814299,franklangfitt,None,0,0,0,0.13
378721413,Nora,Raum,0,0,0,0.99
369278390,Serri,Graslie,0,0,0,0.13
366971503,Gary,Knell,0,0,0,-0.52
365939318,Eleanor,Beardsley,0,0,0,1
362659950,Tony,Ganzer,0,0,0,-0.99
356335627,Jack,Speer,0,0,0,-0.99
355665348,Adam,Frank,0,0,0,-0.99
325255369,Emily,Bogle,0,0,0,1
321738111,Jennifer,Brandel,0,0,0,1
321719254,Alison,MacAdam,0,0,0,0.99
309548402,Leah,Scarpelli,0,0,0,1
309126296,E.,Schumacher-Matos,0,0,0,0
302765767,Ophira,Eisenberg,0,0,0,0.42
301797454,Brenda,Salinas,0,0,0,1
301750247,Ron,Elving,0,0,0,-0.5
301579605,Franklyn,Cater,0,0,0,-1
299877078,Carrie,Johnson,0,0,0,1
296576571,Erica,Ryan,0,0,0,1
293303534,melissa,block,0,0,0,0.99
288956043,Josh,Davis,0,0,0,-1
280684420,Larry,Abramson,0,0,0,-0.99
279277338,susan,vavrick,0,0,0,1
266917386,Russell,Lewis,0,0,0,-0.99
265194112,Ted,Robbins,0,0,0,-0.52
263804554,Matt,Martinez,0,0,0,-1
258092952,eleanor,kagan,0,0,0,1
252578443,Jesse,Baker,0,0,0,-0.99
252104045,Korva,Coleman,0,0,0,0.13
250211424,Lulu,Garcia-Navarro,0,0,0,0.5
248359854,Avie,Schneider,0,0,0,1
247455917,Maria,Godoy,0,0,0,0.7
246593291,Lizzy,Duffy,0,0,0,1
245984358,Elizabeth,Shogren,0,0,0,1
243735585,Acacia,Squires,0,0,0,1
243563201,SorayaSarhaddiNelson,None,0,0,0,-0.13
238139362,Scott,Montgomery,0,0,0,-1
235874933,Jacki,Lyden,0,0,0,0.5
233671382,Camila,Domonoske,0,0,0,1
227560375,Otis,Hart,0,0,0,-0.48
226246076,Gerry,Holmes,0,0,0,-0.07
223923589,Tom,Gjelten,0,0,0,-1
217147972,Ofeibea,Quist-Arcton,0,0,0,0.13
205580763,Nick,Fountain,0,0,0,-0.45
201762459,Sami,Yenigun,0,0,0,-0.56
197346819,Jean,Cochran,0,0,0,0.97
196264627,Kirk,Siegler,0,0,0,-0.99
195182775,Otis,Hart,0,0,0,-0.48
188826996,Lauren,Hodges,0,0,0,0.98
184128260,Hansi,Wang,0,0,0,-0.47
172774474,Richard,Harris,0,0,0,-0.99
171171584,Michele,Norris,0,0,0,1
161715155,Renee,Montagne,0,0,0,1
159217087,Jackie,Northam,0,0,0,0.78
159065451,Celeste,Headlee,0,0,0,1
153437978,Doug,Tribou,0,0,0,-1
151205768,Rob,Stein,0,0,0,-1
147899730,David,McGuffin,0,0,0,-0.99
143229813,cadamole,None,0,0,0,0.13
141283162,petra,mayer,0,0,0,1
141056781,Emily,Siner,0,0,0,1
138248367,Greg,Henderson,0,0,0,-1
137792521,Joel,Rose,0,0,0,-0.98
135920825,Lavis,Tarchuk,0,0,0,-0.13
135572710,Jason,Beaubien,0,0,0,-0.99
135295668,NPR,West,0,0,0,-0.13
133826235,Stephen,Henn,0,0,0,-1
