id,firstname,lastname,fatherwords,motherwords,lwords,gendre,sex
592968976,John,Kass,0.0,0.0,0.0,-1.0,-1.0
499905734,Kevin,Williams,0.0,0.0,0.0,-1.0,-1.0
499047890,Carmél,Carrillo,0.0,0.0,0.0,0.0,1.0
492330892,Kerry,Luft,0.0,0.0,0.0,-0.14,1.0
430049845,James,Webb,0.0,0.0,0.0,-0.99,-1.0
398842314,Dawn,Rhodes,0.0,0.0,0.0,1.0,1.0
388541811,Dana,Moran,0.0,0.0,0.0,0.62,1.0
348234282,Mike,Sansone,0.0,0.0,0.0,-0.71,-1.0
325757052,Annie,Sweeney,0.0,0.0,0.0,1.0,1.0
316229695,Will,Lee,0.0,0.0,0.0,-0.97,-1.0
314170363,Dodie,Hofstetter,0.0,0.0,0.0,1.0,1.0
303926363,IJustWorkHere,0,0.0,0.0,0.0,-0.13,1.0
296431669,Kurt,Gessler,0.0,0.0,0.0,-1.0,-1.0
289738663,Phil,Jurik,0.0,0.0,0.0,-0.99,-1.0
288809835,Erin,Meyer,0.0,0.0,0.0,0.98,1.0
285830703,Kristin,Samuelson,0.0,0.0,0.0,0.7,1.0
285272770,Nina,Metz,0.0,0.0,0.0,1.0,1.0
284723605,Duaa,Eldeib,0.0,0.0,0.0,1.0,1.0
284116781,Client,Services,0.0,0.0,0.0,0.13,1.0
281113627,Phil,Vettel,0.0,0.0,0.0,-1.0,-1.0
263722584,Keith,Claxton,0.0,0.0,0.0,-0.99,-1.0
259943801,Steve,Chapman,0.0,0.0,0.0,-1.0,-1.0
253670472,Michael,Esposito,0.0,0.0,0.0,-0.99,-1.0
244322288,Mark,Hume,0.0,0.0,0.0,-0.99,-1.0
239468725,Ryan,Haggerty,0.0,0.0,0.0,-0.68,-1.0
235800738,Heather,Charles,0.0,0.0,0.0,1.0,1.0
221161949,Matthew,Wood,0.0,0.0,0.0,-1.0,-1.0
216446925,TribLocal,0,0.0,0.0,0.0,0.13,1.0
207614893,Andy,Countryman,0.0,0.0,0.0,-0.98,-1.0
207123003,Dave,Dyck,0.0,0.0,0.0,-1.0,-1.0
204520733,Inside,Shopper,0.0,0.0,0.0,0.13,1.0
202321653,Trine,Tsouderos,0.0,0.0,0.0,0.8,1.0
202259339,steve,rosenbloom,0.0,0.0,0.0,-1.0,-1.0
200274560,John,Trainor,0.0,0.0,0.0,-1.0,-1.0
194198640,Deborah,Shelton,0.0,0.0,0.0,1.0,1.0
194125145,Maggie,Wartik,0.0,0.0,0.0,1.0,1.0
186264062,Shannon,Ryan,0.0,0.0,0.0,0.94,1.0
175274848,Eric,Krol,0.0,0.0,0.0,-0.99,-1.0
174103919,Allison,Prang,0.0,0.0,0.0,0.98,1.0
170101646,435,Digital,0.0,0.0,0.0,-0.13,1.0
153842374,Mary,Hendricks,0.0,0.0,0.0,1.0,1.0
141059672,Ryan,Asher,0.0,0.0,0.0,-0.98,-1.0
125374144,Josh,Noel,0.0,0.0,0.0,-0.5,1.0
117858259,Casey,Baker,0.0,0.0,0.0,-0.89,-1.0
113452414,Kathy,Bergen,0.0,0.0,0.0,1.0,1.0
111417068,Jason,Meisner,0.0,0.0,0.0,-0.99,-1.0
111352662,Brad,Nolan,0.0,0.0,0.0,-0.5,1.0
107518881,Judy,Hevrdejs,0.0,0.0,0.0,0.5,1.0
103931207,Printers,Row,0.0,0.0,0.0,-0.13,1.0
93220626,Will,Waffle?,0.0,0.0,0.0,-0.97,-1.0
89018859,Michael,Phillips,0.0,0.0,0.0,-0.99,-1.0
85654185,Dan,Pompei,0.0,0.0,0.0,-1.0,-1.0
82117778,Fred,Mitchell,0.0,0.0,0.0,-1.0,-1.0
81226405,The,Mash,0.0,0.0,0.0,-0.5,1.0
80492127,Courtney,Crowder,0.0,0.0,0.0,1.0,1.0
78697036,Melissa,Harris,0.0,0.0,0.0,1.0,1.0
76967116,Blair,Kamin,0.0,0.0,0.0,-0.22,1.0
76791139,Belinda,Englman,0.0,0.0,0.0,1.0,1.0
76086442,Dahleen,Glanton,0.0,0.0,0.0,0.39,1.0
75052653,Dawn,Trice,0.0,0.0,0.0,1.0,1.0
74794492,Jon,Hilkevitch,0.0,0.0,0.0,-0.99,-1.0
73198795,Phil,Rogers,0.0,0.0,0.0,-1.0,-1.0
73146747,Clarence,Page,0.0,0.0,0.0,-0.99,-1.0
72852683,greg,burns,0.0,0.0,0.0,-1.0,-1.0
72646706,ellen,warren,0.0,0.0,0.0,1.0,1.0
70428089,Geoff,Brown,0.0,0.0,0.0,-1.0,-1.0
69462289,Naomi,Nix,0.0,0.0,0.0,1.0,1.0
68796344,Bill,Ruthhart,0.0,0.0,0.0,-0.99,-1.0
67317556,Kristin,McKnight,0.0,0.0,0.0,1.0,1.0
64797280,Festival,Homes,0.0,0.0,0.0,-0.13,1.0
62531901,Emily,Rosenbaum,0.0,0.0,0.0,1.0,1.0
61892507,Paul,Sullivan,0.0,0.0,0.0,-1.0,-1.0
60758548,Brian,Hamilton,0.0,0.0,0.0,-1.0,-1.0
59590262,David,Haugh,0.0,0.0,0.0,-0.99,-1.0
56811413,Matt,Nickerson,0.0,0.0,0.0,-1.0,-1.0
55018090,Jemal,Brinson,0.0,0.0,0.0,-1.0,-1.0
54637030,Georgia,Garvey,0.0,0.0,0.0,1.0,1.0
54601325,Paul,Skrbina,0.0,0.0,0.0,-0.99,-1.0
53167708,Chris,Kuc,0.0,0.0,0.0,-0.76,-1.0
52846399,Art,Barnum,0.0,0.0,0.0,-1.0,-1.0
52257555,Mark,LeBien,0.0,0.0,0.0,-0.99,-1.0
50848090,Scott,Strazzante,0.0,0.0,0.0,-1.0,-1.0
49114929,Luis,Gomez,0.0,0.0,0.0,-1.0,-1.0
48470558,John,Owens,0.0,0.0,0.0,-1.0,-1.0
48262651,Christopher,Sosa,0.0,0.0,0.0,-0.99,-1.0
46388895,Jenniffer,Weigel,0.0,0.0,0.0,1.0,1.0
46212101,Michael,Rich,0.0,0.0,0.0,-1.0,-1.0
42814585,Jared,Hopkins,0.0,0.0,0.0,-0.99,-1.0
41229855,Teddy,Greenstein,0.0,0.0,0.0,-0.97,-1.0
41147597,Maureen,Hart,0.0,0.0,0.0,1.0,1.0
40563820,Ross,Werland,0.0,0.0,0.0,-1.0,-1.0
39662223,Rich,Mayor,0.0,0.0,0.0,-1.0,-1.0
39501259,Regina,Robinson,0.0,0.0,0.0,1.0,1.0
