id,firstname,lastname,fatherwords,motherwords,lwords,gendre,sex
2602156056,Jinae,West,0,0,0,0.13,1.0
2330721445,Bob,Mondello,0,0,0,-1.0,-1.0
2326297722,Carol,Ritchie,0,0,0,1.0,1.0
1548898596,Eric,Westervelt,0,0,0,-1.0,-1.0
1533992912,Cory,Turner,0,0,0,-0.95,-1.0
1431157350,Today,1963,0,0,0,0.5,1.0
1416823478,Patrick,Murray,0,0,0,-1.0,-1.0
1365147818,Nathan,Rott,0,0,0,-1.0,-1.0
1139722248,Chinita,Anderson,0,0,0,1.0,1.0
1123007678,Ashley,Messenger,0,0,0,-0.65,-1.0
1117803602,David,Sweeney,0,0,0,-1.0,-1.0
1064192366,Jasmine,Garsd,0,0,0,0.99,1.0
1006788936,Phil,Harrell,0,0,0,-1.0,-1.0
939949219,Tania,Lombrozo,0,0,0,1.0,1.0
875591820,Kee,Malesky,0,0,0,-0.49,1.0
860595301,Maggie,Penman,0,0,0,1.0,1.0
836922157,John,Stempin,0,0,0,-1.0,-1.0
829640946,Chris,Hopkins,0,0,0,-0.97,-1.0
813303104,Evie,Stone,0,0,0,1.0,1.0
807975026,S.V.,Dáte,0,0,0,0.0,1.0
757264490,Stu,Seidel,0,0,0,-1.0,-1.0
718475688,Ken,Barcus,0,0,0,-1.0,-1.0
718431380,Jeffrey,Katz,0,0,0,-1.0,-1.0
707512656,NPR,Health,0,0,0,-0.13,1.0
634635574,kainazamaria,None,0,0,0,0.39,1.0
631532178,Michaeleen,Doucleff,0,0,0,0.5,1.0
625600899,Scott,Neuman,0,0,0,-0.99,-1.0
619159265,Jennifer,Ludden,0,0,0,0.99,1.0
609705444,Jennifer,Wright,0,0,0,1.0,1.0
587735448,Jenna,Dooley,0,0,0,1.0,1.0
563942253,melissa,gray,0,0,0,0.99,1.0
552336380,Jacob,Ganz,0,0,0,-1.0,-1.0
545361165,Corey,Flintoff,0,0,0,-0.96,-1.0
542989688,Alan,Greenblatt,0,0,0,-1.0,-1.0
502009244,Carol,Klinger,0,0,0,1.0,1.0
485083111,scott,horsley,0,0,0,-1.0,-1.0
455241705,Heidi,Saman,0,0,0,1.0,1.0
431640134,Quil,Lawrence,0,0,0,-0.77,-1.0
427059614,Dan,Charles,0,0,0,-0.99,-1.0
425628535,Cheryl,Corley,0,0,0,1.0,1.0
411405379,Sylvia,Poggioli,0,0,0,0.71,1.0
401721372,LA,Johnson,0,0,0,0.35,1.0
390840265,Justine,Kenin,0,0,0,0.93,1.0
390170244,Caitlin,Dickerson,0,0,0,1.0,1.0
380814299,franklangfitt,None,0,0,0,0.13,1.0
378721413,Nora,Raum,0,0,0,0.99,1.0
369278390,Serri,Graslie,0,0,0,0.13,1.0
366971503,Gary,Knell,0,0,0,-0.52,1.0
365939318,Eleanor,Beardsley,0,0,0,1.0,1.0
362659950,Tony,Ganzer,0,0,0,-0.99,-1.0
356335627,Jack,Speer,0,0,0,-0.99,-1.0
355665348,Adam,Frank,0,0,0,-0.99,-1.0
325255369,Emily,Bogle,0,0,0,1.0,1.0
321738111,Jennifer,Brandel,0,0,0,1.0,1.0
321719254,Alison,MacAdam,0,0,0,0.99,1.0
309548402,Leah,Scarpelli,0,0,0,1.0,1.0
309126296,E.,Schumacher-Matos,0,0,0,0.0,1.0
302765767,Ophira,Eisenberg,0,0,0,0.42,1.0
301797454,Brenda,Salinas,0,0,0,1.0,1.0
301750247,Ron,Elving,0,0,0,-0.5,1.0
301579605,Franklyn,Cater,0,0,0,-1.0,-1.0
299877078,Carrie,Johnson,0,0,0,1.0,1.0
296576571,Erica,Ryan,0,0,0,1.0,1.0
293303534,melissa,block,0,0,0,0.99,1.0
288956043,Josh,Davis,0,0,0,-1.0,-1.0
280684420,Larry,Abramson,0,0,0,-0.99,-1.0
279277338,susan,vavrick,0,0,0,1.0,1.0
266917386,Russell,Lewis,0,0,0,-0.99,-1.0
265194112,Ted,Robbins,0,0,0,-0.52,1.0
263804554,Matt,Martinez,0,0,0,-1.0,-1.0
258092952,eleanor,kagan,0,0,0,1.0,1.0
252578443,Jesse,Baker,0,0,0,-0.99,-1.0
252104045,Korva,Coleman,0,0,0,0.13,1.0
250211424,Lulu,Garcia-Navarro,0,0,0,0.5,1.0
248359854,Avie,Schneider,0,0,0,1.0,1.0
247455917,Maria,Godoy,0,0,0,0.7,1.0
246593291,Lizzy,Duffy,0,0,0,1.0,1.0
245984358,Elizabeth,Shogren,0,0,0,1.0,1.0
243735585,Acacia,Squires,0,0,0,1.0,1.0
243563201,SorayaSarhaddiNelson,None,0,0,0,-0.13,1.0
238139362,Scott,Montgomery,0,0,0,-1.0,-1.0
235874933,Jacki,Lyden,0,0,0,0.5,1.0
233671382,Camila,Domonoske,0,0,0,1.0,1.0
227560375,Otis,Hart,0,0,0,-0.48,1.0
226246076,Gerry,Holmes,0,0,0,-0.07,1.0
223923589,Tom,Gjelten,0,0,0,-1.0,-1.0
217147972,Ofeibea,Quist-Arcton,0,0,0,0.13,1.0
205580763,Nick,Fountain,0,0,0,-0.45,1.0
201762459,Sami,Yenigun,0,0,0,-0.56,1.0
197346819,Jean,Cochran,0,0,0,0.97,1.0
196264627,Kirk,Siegler,0,0,0,-0.99,-1.0
195182775,Otis,Hart,0,0,0,-0.48,1.0
188826996,Lauren,Hodges,0,0,0,0.98,1.0
184128260,Hansi,Wang,0,0,0,-0.47,1.0
172774474,Richard,Harris,0,0,0,-0.99,-1.0
171171584,Michele,Norris,0,0,0,1.0,1.0
161715155,Renee,Montagne,0,0,0,1.0,1.0
159217087,Jackie,Northam,0,0,0,0.78,1.0
