id,firstname,lastname,fatherwords,motherwords,lwords,gendre,sex
2844750846,Maria,Russo,0.0,0.0,0.0,1.0,1.0
2830226574,Gabe,Johnson,0.0,0.0,0.0,-1.0,-1.0
2769414451,Monica,Almeida,0.0,0.0,0.0,1.0,1.0
2614375933,Jeffrey,Marcus,0.0,0.0,0.0,-1.0,-1.0
2571084145,Jessica,Dimson,0.0,0.0,0.0,1.0,1.0
2561646679,Joe,Nocera,0.0,0.0,0.0,-0.96,-1.0
2559729506,Patrick,Lyons,0.0,0.0,0.0,-1.0,-1.0
2541702199,James,Risen,0.0,0.0,0.0,-0.99,-1.0
2530077547,David,Furst,0.0,0.0,0.0,-0.99,-1.0
2478792504,Anthony,Tommasini,0.0,0.0,0.0,-1.0,-1.0
2463358249,Kenneth,Chang,0.0,0.0,0.0,-1.0,-1.0
2439177534,Brent,Staples,0.0,0.0,0.0,-0.67,-1.0
2382608569,Kathleen,Flynn,0.0,0.0,0.0,1.0,1.0
2358244638,Bruce,Levine,0.0,0.0,0.0,-1.0,-1.0
2343678498,Adeel,Hassan,0.0,0.0,0.0,-1.0,-1.0
2317824895,Herbert,Buchsbaum,0.0,0.0,0.0,-1.0,-1.0
2317790305,Matthew,Schneier,0.0,0.0,0.0,-1.0,-1.0
2282904271,Terry,Tang,0.0,0.0,0.0,-0.77,-1.0
2211478945,Joan,Nassivera,0.0,0.0,0.0,0.98,1.0
2155069154,Felicia,Lee,0.0,0.0,0.0,1.0,1.0
1961041837,William,Grimes,0.0,0.0,0.0,-0.71,-1.0
1858027897,Daniel,Jones,0.0,0.0,0.0,-0.99,-1.0
1665580856,Ian,Urbina,0.0,0.0,0.0,-0.5,1.0
1594256965,Larry,Ingrassia,0.0,0.0,0.0,-1.0,-1.0
1483971788,Steve,Kenny,0.0,0.0,0.0,-0.99,-1.0
1435777862,Barry,Meier,0.0,0.0,0.0,-1.0,-1.0
1427982906,Josh,Katz,0.0,0.0,0.0,-1.0,-1.0
1378279770,rebecca,corbett,0.0,0.0,0.0,1.0,1.0
1347226375,Kayne,Rogers,0.0,0.0,0.0,-0.48,1.0
1337490036,Celia,Dugger,0.0,0.0,0.0,1.0,1.0
1280318305,Isabel,Kershner,0.0,0.0,0.0,0.97,1.0
1247237509,Glenn,Kramon,0.0,0.0,0.0,-0.99,-1.0
1225954434,Gregory,Cowles,0.0,0.0,0.0,-0.71,-1.0
1201619390,Malina,Gilchrist,0.0,0.0,0.0,1.0,1.0
1184637614,Florence,Fabricant,0.0,0.0,0.0,0.99,1.0
1170234294,Matt,Twomey,0.0,0.0,0.0,-1.0,-1.0
1138559328,Ken,Belson,0.0,0.0,0.0,-1.0,-1.0
1080504728,David,Tanis,0.0,0.0,0.0,-0.99,-1.0
946677414,Ian,Austen,0.0,0.0,0.0,-1.0,-1.0
935171022,Royal,0,0.0,0.0,0.0,-0.93,-1.0
928875973,Kyle,Massey,0.0,0.0,0.0,-0.69,-1.0
883187275,Julie,Lasky,0.0,0.0,0.0,0.71,1.0
876114956,Noel,Millea,0.0,0.0,0.0,-0.59,1.0
874916178,Michael,Beschloss,0.0,0.0,0.0,-0.99,-1.0
871989314,Emma,Cott,0.0,0.0,0.0,1.0,1.0
868358876,Jane,Perlez,0.0,0.0,0.0,0.5,1.0
788697546,Gerry,Doyle,0.0,0.0,0.0,-0.92,-1.0
778365522,Nina,Bernstein,0.0,0.0,0.0,1.0,1.0
777332384,Naila-Jean,Meyers,0.0,0.0,0.0,-0.13,1.0
774478651,Michael,Winerip,0.0,0.0,0.0,-0.99,-1.0
714697231,Steven,Reddicliffe,0.0,0.0,0.0,-0.99,-1.0
713369978,Joe,Goldstein,0.0,0.0,0.0,-0.99,-1.0
705082592,Joe,Ward,0.0,0.0,0.0,-0.96,-1.0
633980404,David,Brooks,0.0,0.0,0.0,-0.99,-1.0
633726625,Kathy,Ryan,0.0,0.0,0.0,1.0,1.0
633166200,Alicia,Parlapiano,0.0,0.0,0.0,1.0,1.0
620069722,Leslie,Kaufman,0.0,0.0,0.0,0.48,1.0
616360824,Christopher,Mele,0.0,0.0,0.0,-0.99,-1.0
613714169,Des,Shoe,0.0,0.0,0.0,-0.05,1.0
599454226,Julia,Preston,0.0,0.0,0.0,0.99,1.0
595617958,Karin,Roberts,0.0,0.0,0.0,1.0,1.0
582473979,Neil,Gough,0.0,0.0,0.0,-0.99,-1.0
577685565,Norimitsu,Onishi,0.0,0.0,0.0,-0.13,1.0
569194982,Kassie,Bracken,0.0,0.0,0.0,1.0,1.0
560376256,Shayla,Harris,0.0,0.0,0.0,1.0,1.0
554205029,Manny,Fernandez,0.0,0.0,0.0,-0.46,1.0
