id,firstname,lastname,fatherwords,motherwords,lwords,gendre,sex
2811233212,Morning,Shift,0.0,0.0,0.0,1.0,1.0
2731529351,Bill,Nichols,0.0,0.0,0.0,-1.0,-1.0
2259259550,Kendall,Breitman,0.0,0.0,0.0,0.1,1.0
1684234034,Marianne,LeVine,0.0,0.0,0.0,1.0,1.0
1676010254,Bill,Tomson,0.0,0.0,0.0,-1.0,-1.0
1656178220,Cogan,Schneier,0.0,0.0,0.0,-1.0,-1.0
1631159347,Jason,Huffman,0.0,0.0,0.0,-1.0,-1.0
1560444553,Jonathan,Topaz,0.0,0.0,0.0,-0.99,-1.0
1543973953,Katelyn,Fossett,0.0,0.0,0.0,1.0,1.0
1493053800,Cate,Martel,0.0,0.0,0.0,1.0,1.0
1132012321,Daniella,Diaz,0.0,0.0,0.0,1.0,1.0
558997164,Stephanie,Simon,0.0,0.0,0.0,1.0,1.0
549513519,Judy,Shapleigh,0.0,0.0,0.0,1.0,1.0
544378056,Jennifer,Shutt,0.0,0.0,0.0,0.99,1.0
528949429,Jenny,Hopkinson,0.0,0.0,0.0,1.0,1.0
526784196,Matthew,Korade,0.0,0.0,0.0,-1.0,-1.0
515562132,Hilary,Krieger,0.0,0.0,0.0,0.98,1.0
497455568,Shaun,Waterman,0.0,0.0,0.0,-0.92,-1.0
450899297,Bob,Hillman,0.0,0.0,0.0,-0.99,-1.0
437019753,Timothy,Noah,0.0,0.0,0.0,-0.5,1.0
408119828,Jeffrey,Bartholet,0.0,0.0,0.0,-1.0,-1.0
407013776,Burgess,Everett,0.0,0.0,0.0,-0.53,1.0
388468632,Adam,Snider,0.0,0.0,0.0,-1.0,-1.0
370489880,Joanne,Kenen,0.0,0.0,0.0,1.0,1.0
362510239,Rachel,Dongen,0.0,0.0,0.0,1.0,1.0
360033479,Elizabeth,Ralph,0.0,0.0,0.0,0.67,1.0
353145646,Sara,Olson,0.0,0.0,0.0,1.0,1.0
349394162,Susan,Levine,0.0,0.0,0.0,1.0,1.0
340997626,David,Nather,0.0,0.0,0.0,-1.0,-1.0
339797590,Janet,Michaud,0.0,0.0,0.0,1.0,1.0
339307665,Brian,Mahoney,0.0,0.0,0.0,-1.0,-1.0
321799506,Jessica,Huff,0.0,0.0,0.0,1.0,1.0
316375309,Austin,Wright,0.0,0.0,0.0,-1.0,-1.0
312243603,Natalie,Villacorta,0.0,0.0,0.0,1.0,1.0
308233424,Roger,Simon,0.0,0.0,0.0,-0.99,-1.0
287263845,Eric,Nelson,0.0,0.0,0.0,-1.0,-1.0
280299519,Joseph,Marks,0.0,0.0,0.0,-1.0,-1.0
247441640,Kim,Dixon,0.0,0.0,0.0,0.96,1.0
244265058,John,Harris,0.0,0.0,0.0,-1.0,-1.0
244212645,Jim,VandeHei,0.0,0.0,0.0,-0.49,1.0
240199983,Katy,Bachman,0.0,0.0,0.0,1.0,1.0
236026761,Dylan,Byers,0.0,0.0,0.0,-0.98,-1.0
234493276,Bob,King,0.0,0.0,0.0,-1.0,-1.0
234467536,Jon,Prior,0.0,0.0,0.0,-0.99,-1.0
233970489,Gregg,Birnbaum,0.0,0.0,0.0,-1.0,-1.0
230663694,Jordan,Ray,0.0,0.0,0.0,-0.53,1.0
229258100,Alexis,0,0.0,0.0,0.0,0.35,1.0
217550862,John,Bresnahan,0.0,0.0,0.0,-1.0,-1.0
204599219,Paige,Cunningham,0.0,0.0,0.0,1.0,1.0
200542610,Morning,Defense,0.0,0.0,0.0,0.5,1.0
185680080,Maggie,Severns,0.0,0.0,0.0,1.0,1.0
179546580,Erica,Martinson,0.0,0.0,0.0,0.99,1.0
172482310,Alysha,Love,0.0,0.0,0.0,1.0,1.0
172343542,Matt,Daily,0.0,0.0,0.0,-0.68,-1.0
170694418,Margy,Slattery,0.0,0.0,0.0,1.0,1.0
167024520,Rachael,Bade,0.0,0.0,0.0,1.0,1.0
165204211,Andrew,Restuccia,0.0,0.0,0.0,-0.99,-1.0
164383046,Dianna,Heitz,0.0,0.0,0.0,1.0,1.0
163589845,Kevin,Robillard,0.0,0.0,0.0,-1.0,-1.0
159655293,Tal,Kopan,0.0,0.0,0.0,-0.19,1.0
158826094,Erin,Mershon,0.0,0.0,0.0,0.95,1.0
154985728,Katie,Glueck,0.0,0.0,0.0,1.0,1.0
150686538,Jeremy,Herb,0.0,0.0,0.0,-1.0,-1.0
145082153,Brianna,Labuskes,0.0,0.0,0.0,0.5,1.0
140928543,Capital,York,0.0,0.0,0.0,0.43,1.0
139738464,MJ,Lee,0.0,0.0,0.0,-1.0,-1.0
138609690,Lucy,McCalmont,0.0,0.0,0.0,1.0,1.0
135575282,Ben,White,0.0,0.0,0.0,-0.58,1.0
135558864,Dave,Clarke,0.0,0.0,0.0,-1.0,-1.0
124540289,Mary,Marklein,0.0,0.0,0.0,0.99,1.0
119784462,Caitlin,Emma,0.0,0.0,0.0,1.0,1.0
119610949,Brooks,Boliek,0.0,0.0,0.0,-0.9,-1.0
117833629,Danielle,Jones,0.0,0.0,0.0,1.0,1.0
117102154,Bill,Duryea,0.0,0.0,0.0,-0.99,-1.0
116873757,Leslie,Lake,0.0,0.0,0.0,0.48,1.0
115564212,Edward-Isaac,Dovere,0.0,0.0,0.0,-0.13,1.0
112526560,Kenneth,Vogel,0.0,0.0,0.0,-0.67,-1.0
110004599,Darren,Goode,0.0,0.0,0.0,-1.0,-1.0
93069110,Maggie,Haberman,0.0,0.0,0.0,1.0,1.0
90077282,Alex,Isenstadt,0.0,0.0,0.0,-0.95,-1.0
87063281,Michael,Crowley,0.0,0.0,0.0,-1.0,-1.0
83616201,Doug,Palmer,0.0,0.0,0.0,-1.0,-1.0
82151660,Kelsey,Snell,0.0,0.0,0.0,0.99,1.0
78694788,Heather,Caygle,0.0,0.0,0.0,1.0,1.0
77920769,Alex,Guillen,0.0,0.0,0.0,-0.98,-1.0
77032777,Anna,Palmer,0.0,0.0,0.0,1.0,1.0
76611108,Nahal,Toosi,0.0,0.0,0.0,0.5,1.0
73489523,Liz,Breckenridge,0.0,0.0,0.0,1.0,1.0
72637972,Lauren,Edmonds,0.0,0.0,0.0,0.98,1.0
70511174,Hadas,Gold,0.0,0.0,0.0,0.5,1.0
68403785,Kim,Kingsley,0.0,0.0,0.0,0.97,1.0
64916983,Josh,Gerstein,0.0,0.0,0.0,-1.0,-1.0
56680792,M.,Mahaskey,0.0,0.0,0.0,0.0,1.0
53832621,Puja,Murgai,0.0,0.0,0.0,1.0,1.0
53222666,Brett,Norman,0.0,0.0,0.0,-0.96,-1.0
52615210,Mike,Elk,0.0,0.0,0.0,-0.5,1.0
52521572,Michael,Grunwald,0.0,0.0,0.0,-1.0,-1.0
48125246,Kathryn,Wolfe,0.0,0.0,0.0,1.0,1.0
47837269,Tarini,Parti,0.0,0.0,0.0,1.0,1.0
46417885,Elana,Schor,0.0,0.0,0.0,0.5,1.0
45399148,Jennifer,Epstein,0.0,0.0,0.0,1.0,1.0
42692687,Lauren,French,0.0,0.0,0.0,1.0,1.0
42688735,Michael,Schwab,0.0,0.0,0.0,-1.0,-1.0
40958779,Matthew,Sobocinski,0.0,0.0,0.0,-0.99,-1.0
39155029,Manu,Raju,0.0,0.0,0.0,-0.99,-1.0
36178328,Olivia,Petersen,0.0,0.0,0.0,1.0,1.0
33983012,John,Shinkle,0.0,0.0,0.0,-1.0,-1.0
32649852,Michelle,Bloom,0.0,0.0,0.0,0.99,1.0
31447311,Darius,Dixon,0.0,0.0,0.0,-0.99,-1.0
31037199,Susan,Glasser,0.0,0.0,0.0,1.0,1.0
30517870,Kat,Borgerding,0.0,0.0,0.0,1.0,1.0
28401561,Mike,Zapler,0.0,0.0,0.0,-1.0,-1.0
26953478,Helena,Evich,0.0,0.0,0.0,1.0,1.0
24439201,James,Hohmann,0.0,0.0,0.0,-1.0,-1.0
23900462,Bill,Kuchman,0.0,0.0,0.0,-0.99,-1.0
23578274,Kyle,Cheney,0.0,0.0,0.0,-0.97,-1.0
21842781,Dan,Berman,0.0,0.0,0.0,-0.49,1.0
21800063,Steven,Shepard,0.0,0.0,0.0,-1.0,-1.0
21252618,Jake,Sherman,0.0,0.0,0.0,-1.0,-1.0
21144314,Matt,Wuerker,0.0,0.0,0.0,-1.0,-1.0
20852178,Adam,Behsudi,0.0,0.0,0.0,-0.99,-1.0
20813112,Daniel,Lippman,0.0,0.0,0.0,-0.99,-1.0
20071903,Nirvi,Shah,0.0,0.0,0.0,0.5,1.0
19889946,Lois,Romano,0.0,0.0,0.0,1.0,1.0
19354391,Marty,Kady,0.0,0.0,0.0,-0.39,1.0
19305421,Trevor,Eischen,0.0,0.0,0.0,-0.99,-1.0
19186003,Seung,Kim,0.0,0.0,0.0,0.0,1.0
19167293,Christine,Delargy,0.0,0.0,0.0,1.0,1.0
19107878,Glenn,Thrush,0.0,0.0,0.0,-0.99,-1.0
18991439,Kate,Davidson,0.0,0.0,0.0,1.0,1.0
18792765,Nick,Gass,0.0,0.0,0.0,-0.51,1.0
18501487,Leigh,Munsil,0.0,0.0,0.0,0.87,1.0
17513576,Andrea,Bitely,0.0,0.0,0.0,0.98,1.0
17289717,Alex,Byers,0.0,0.0,0.0,-0.98,-1.0
17243582,Blake,Hounshell,0.0,0.0,0.0,-0.94,-1.0
17216302,Megan,Chan,0.0,0.0,0.0,1.0,1.0
16800722,Adam,Sneed,0.0,0.0,0.0,-0.99,-1.0
16314506,Eric,Engleman,0.0,0.0,0.0,-0.99,-1.0
16291449,Michael,Kruse,0.0,0.0,0.0,-0.99,-1.0
16285830,philewing,0,0.0,0.0,0.0,0.13,1.0
16018516,Jennifer,Haberkorn,0.0,0.0,0.0,0.71,1.0
15993122,Darren,Samuelsohn,0.0,0.0,0.0,-1.0,-1.0
15567780,JenJudson,0,0.0,0.0,0.0,-0.13,1.0
15271184,Chase,Purdy,0.0,0.0,0.0,-0.99,-1.0
14949858,Laura,McGann,0.0,0.0,0.0,1.0,1.0
14597239,Tony,Romm,0.0,0.0,0.0,-0.98,-1.0
14246001,Mike,Allen,0.0,0.0,0.0,-1.0,-1.0
9862752,Carrie,Brown,0.0,0.0,0.0,1.0,1.0
3648061,Sarah,Wheaton,0.0,0.0,0.0,1.0,1.0
926601,Garrett,Graff,0.0,0.0,0.0,-1.0,-1.0
749303,Zachary,Warmbrodt,0.0,0.0,0.0,-0.5,1.0
