,fatherwords,motherwords,lwords,gendre,1
51383,0,0,0,-0.98,-1.0
59223,0,0,0,-1.0,-1.0
351203,0,0,0,-1.0,-1.0
643013,0,0,0,-0.85,-1.0
650933,0,0,0,-0.97,-1.0
710553,0,0,0,-0.47,-1.0
745543,0,0,0,-0.97,-1.0
774675,0,0,0,-0.99,-1.0
795606,0,0,0,-1.0,-1.0
802953,0,0,0,1.0,1.0
817853,0,0,0,-0.5,-1.0
903351,0,0,0,-0.97,-1.0
1098561,0,0,0,1.0,1.0
3128101,1,0,0,-1.0,-1.0
3587091,0,0,0,1.0,1.0
4021801,0,0,0,-1.0,-1.0
5471512,0,0,0,-0.5,-1.0
5553882,0,0,0,-1.0,-1.0
5555452,0,0,0,-1.0,-1.0
5724622,0,0,0,-0.25,-1.0
5795572,0,0,0,-1.0,-1.0
5832482,0,0,0,-0.71,-1.0
5874712,0,0,0,1.0,1.0
6108292,0,0,0,-0.98,-1.0
6160792,0,0,0,-0.99,-1.0
6173342,0,0,0,-0.99,-1.0
6205462,0,0,0,1.0,1.0
6259102,0,0,0,-0.71,-1.0
6271552,0,0,0,-0.99,-1.0
6424342,0,0,0,-1.0,-1.0
6606392,0,0,0,1.0,1.0
6624822,0,0,0,-1.0,-1.0
6690332,0,0,0,-0.98,-1.0
6702362,0,0,0,-0.71,-1.0
6734902,0,0,0,0.99,1.0
6889982,0,0,0,-1.0,-1.0
7415062,0,0,0,0.13,1.0
7521832,0,0,0,1.0,1.0
7707392,0,0,0,-0.13,1.0
8056682,0,0,0,-0.5,-1.0
8153302,0,0,0,-0.99,-1.0
8834612,0,0,0,0.5,1.0
9146822,0,0,0,1.0,1.0
9411592,0,0,0,1.0,1.0
9442262,0,0,0,-1.0,-1.0
9463702,0,0,0,-1.0,-1.0
9590082,0,0,0,-0.13,1.0
10086912,0,0,0,-0.99,-1.0
10138662,0,0,0,0.25,1.0
10404232,0,0,0,-0.13,-1.0
10413592,0,0,0,-1.0,-1.0
10475672,0,0,0,-1.0,-1.0
10697982,0,0,0,-0.13,-1.0
11125092,0,0,0,-1.0,-1.0
11319732,0,0,0,0.99,1.0
11886262,0,0,0,1.0,1.0
11978142,0,0,0,-0.99,-1.0
12220692,0,0,0,-0.99,-1.0
12716032,0,0,0,0.13,1.0
13118692,0,0,0,-0.13,-1.0
13162302,0,0,0,-1.0,-1.0
14076478,0,0,0,-0.31,-1.0
14128528,0,0,0,-0.99,-1.0
14183995,0,0,0,-0.45,-1.0
14198796,0,0,0,-0.99,-1.0
14201286,0,0,0,0.42,1.0
14215375,0,0,0,-0.13,1.0
14216805,0,0,0,-1.0,-1.0
14222584,0,1,0,0.99,1.0
14225016,0,0,0,0.68,1.0
14245064,0,0,0,-0.99,-1.0
14248920,0,0,0,0.13,1.0
14256781,0,0,0,0.13,1.0
14262341,0,0,0,-1.0,-1.0
14318130,0,0,0,-0.13,1.0
14330415,0,0,0,1.0,1.0
14336100,0,0,0,-0.94,-1.0
14344132,0,0,0,0.44,-1.0
14379465,0,0,0,-0.99,-1.0
14385947,0,0,0,1.0,1.0
14394426,0,0,0,1.0,1.0
14412930,0,0,0,-0.95,-1.0
14456192,0,0,0,-0.99,-1.0
14484658,0,0,0,-0.13,-1.0
14496937,0,0,0,-1.0,1.0
14556543,0,0,0,0.13,-1.0
14578544,0,0,0,0.96,1.0
14622673,0,0,0,-0.99,-1.0
14635336,0,0,0,-0.13,-1.0
14663205,0,0,0,0.47,-1.0
14678563,0,0,0,1.0,1.0
14681921,0,0,0,-0.99,-1.0
14698392,0,0,0,-0.13,-1.0
14715410,0,0,0,1.0,1.0
14732903,0,0,0,-0.68,-1.0
14758809,0,0,0,-1.0,-1.0
14777504,0,0,0,-0.99,-1.0
14783101,0,0,0,-1.0,-1.0
14809916,0,0,0,-0.42,-1.0
14816854,0,0,0,0.13,1.0
14827074,0,0,0,-0.96,-1.0
14832805,0,0,0,-1.0,-1.0
14877389,0,0,0,-1.0,1.0
14910269,0,0,0,-0.13,-1.0
14919967,0,0,0,1.0,1.0
14948899,0,0,0,-0.48,1.0
14980342,0,0,0,0.5,1.0
15006642,0,1,0,1.0,1.0
15025802,0,0,0,-0.99,-1.0
15073267,0,0,0,0.5,1.0
15251300,0,0,0,-0.89,-1.0
15267777,0,0,0,-1.0,-1.0
15279688,0,0,0,-0.13,-1.0
15288190,0,0,0,-0.13,-1.0
15294407,0,0,0,1.0,1.0
15299289,0,0,0,-0.5,-1.0
15301145,0,0,0,-0.13,1.0
15325118,0,0,0,0.5,1.0
15328052,0,0,0,-1.0,-1.0
15364312,0,0,0,-0.5,-1.0
15377683,0,0,0,-1.0,-1.0
15383276,0,0,0,-1.0,-1.0
15400946,0,0,0,-1.0,-1.0
15493838,0,0,0,-0.21,1.0
15499706,0,0,0,0.0,-1.0
15525361,0,0,0,0.99,1.0
15603568,0,0,0,-1.0,-1.0
15614582,0,0,0,0.5,1.0
15658701,0,0,0,0.67,1.0
15689313,0,0,0,1.0,1.0
15739565,0,0,0,-1.0,-1.0
15740040,0,0,0,0.48,1.0
15742046,0,0,0,-1.0,-1.0
15751314,0,0,0,-0.49,-1.0
15769447,0,0,0,-1.0,-1.0
15816246,0,0,0,-0.65,-1.0
15855422,0,0,0,1.0,1.0
15876672,0,0,0,-1.0,1.0
15882661,0,0,0,-0.99,-1.0
15884680,0,0,0,-0.98,-1.0
15908556,0,0,0,1.0,1.0
15920035,0,0,0,1.0,1.0
15941530,0,0,0,-1.0,-1.0
16076062,0,0,0,-0.13,1.0
16145605,0,0,0,0.5,1.0
16151085,0,0,0,0.13,1.0
16165092,0,0,0,1.0,1.0
16213443,0,0,0,-0.71,-1.0
16215753,0,0,0,-0.13,1.0
16241738,0,0,0,-0.13,1.0
16259845,0,0,0,0.13,1.0
16264968,0,0,0,-1.0,-1.0
16291449,0,0,0,-0.99,-1.0
16299716,0,0,0,0.59,1.0
16330790,0,0,0,-0.81,-1.0
16333340,0,0,0,-0.97,-1.0
16339845,0,0,0,0.99,1.0
16363375,0,0,0,-1.0,-1.0
16441463,0,0,0,-0.99,-1.0
16451200,0,0,0,-0.13,-1.0
16459469,0,0,0,1.0,1.0
16467405,0,0,0,-0.13,-1.0
16525674,0,0,0,-1.0,-1.0
16540649,0,0,0,-1.0,-1.0
16548793,0,0,0,-1.0,-1.0
16558128,0,0,0,-0.66,-1.0
16564534,0,0,0,1.0,1.0
16612967,0,0,0,0.13,1.0
16614645,0,0,0,-1.0,-1.0
16638693,0,0,0,-0.95,-1.0
16654122,0,0,0,-0.5,-1.0
16658356,0,0,0,0.93,1.0
16687989,0,0,0,-0.99,-1.0
16689002,0,0,0,1.0,1.0
16703587,0,0,0,1.0,1.0
16723405,0,0,0,1.0,1.0
16843082,0,0,0,0.13,-1.0
16877043,0,0,0,-0.96,-1.0
16879494,0,0,0,1.0,1.0
16920023,0,0,0,1.0,1.0
16922689,0,0,0,-0.13,-1.0
16934068,0,0,0,1.0,1.0
16935447,0,0,0,-0.13,1.0
16976436,0,0,0,0.5,1.0
17001077,0,0,0,-1.0,-1.0
17015858,0,0,0,0.13,1.0
17021716,0,0,0,0.13,1.0
17040452,0,0,0,1.0,1.0
17041359,0,0,0,-0.13,-1.0
17051383,0,0,0,-1.0,-1.0
17070233,0,0,0,1.0,1.0
17120022,0,0,0,-1.0,-1.0
17173917,0,0,0,0.13,1.0
17197453,0,0,0,0.96,1.0
17230705,0,0,0,-0.97,-1.0
